번호	파일명	캐릭터	화면	내용	원래 업로드 파일명
001	001_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv5 (별 5/6)	e70e95c5-image.jpg
002	002_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv6 (별 6/6)	83628b03-image.jpg
003	003_zad_manifest.jpg	자드	발현 트리	관능의 아라베스크 5 · 아브라소 1 · 발현 5단 상세	53491849-image.jpg
004	004_zad_manifest.jpg	자드	발현 트리	관능의 아라베스크 6 · 아브라소 2	b9524cc1-image.jpg
005	005_zad_manifest.jpg	자드	발현 트리	관능의 아라베스크 7 · 아브라소 3 · 발현 6단	d01576d2-image.jpg
006	006_zad_class.jpg	자드	클래스 탭	로그 선택 · 치명1 툴팁 · 스탯 9103→7614 / 3790→3546	db9a432f-image.jpg
007	007_zad_class.jpg	자드	클래스 탭	씨프 · 잠행1 툴팁 · 스탯 9103→7827 / 3790	d6a97520-image.jpg
008	008_zad_class.jpg	자드	클래스 탭	씨프 · 잠행2 툴팁	28b1572a-image.jpg
009	009_zad_class.jpg	자드	클래스 탭	섀도우댄서 · 칼날무희1 툴팁 · 스탯 9103→8040 / 3790→4034	35e6a2b3-image.jpg
010	010_zad_class.jpg	자드	클래스 탭	카덴차 · 매혹의 템포1 툴팁 · 스탯 9103→8465 / 3790→3627	08f6cd41-image.jpg
011	011_zad_class.jpg	자드	클래스 탭	로그 · 치명2 툴팁	22841a19-image.jpg
012	012_zad_class.jpg	자드	클래스 탭	프리마 · 황홀한 무보2 + 우아한 리듬2/치명적인 비트2/철수	010b3fc5-image.jpg
013	013_zad_class.jpg	자드	클래스 탭	프리마 · 황홀한 무보1 + 우아한 리듬1/치명적인 비트1/철수	ec2d2458-image.jpg
014	014_zad_class.jpg	자드	클래스 탭	얀크 · 공진1 + 파쇄 공진1/합격 공진1 · 스탯 9103→8465 / 3790→3952	5e1c2173-image.jpg
015	015_zad_class.jpg	자드	클래스 탭	얀크 · 공진2 + 파쇄 공진2/합격 공진2	1525baae-image.jpg
016	016_zad_class.jpg	자드	클래스 탭	프리마 · 황홀한 무보2 (012와 거의 동일)	9b978b71-image.jpg
017	017_zad_class.jpg	자드	클래스 탭	카덴차 · 매혹의 템포2 툴팁	930e3dae-image.jpg
018	018_zad_class.jpg	자드	클래스 탭	섀도우댄서 · 칼날무희2 툴팁	3b5b44cb-image.jpg
019	019_zad_class.jpg	자드	클래스 탭	★로그 계열 트리 전체 (툴팁 없음) · 엠블럼 크롭 원본	5daae17c-image.jpg
020	020_zad_class.jpg	자드	클래스 탭	얀크 · 명왕성(액티브) + 호신 투기 툴팁	6df5c235-image.jpg
021	021_zad_class.jpg	자드	클래스 탭	로그 · 은신(액티브) 툴팁	21083f1b-image.jpg
022	022_zad_class.jpg	자드	클래스 탭	로그 · 연참(액티브) 툴팁	ed2a95f5-image.jpg
023	023_zad_class.jpg	자드	클래스 탭	씨프 · 자도섬(액티브) 툴팁	dc89cbad-image.jpg
024	024_zad_class.jpg	자드	클래스 탭	카덴차 · 키스 오브 미라주(액티브) 툴팁	4d295b58-image.jpg
025	025_zad_class.jpg	자드	클래스 탭	로그 · 암영섬(액티브) 툴팁	aba003dd-image.jpg
026	026_zad_class.jpg	자드	클래스 탭	프리마 · 풍사륜(액티브) 툴팁	607d802f-image.jpg
027	027_zad_class.jpg	자드	클래스 탭	섀도우댄서 · 사룡참파(액티브) + 탈진 툴팁	8280da5b-image.jpg
028	028_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★1 · 고고한 에투알1 / 새벽의 빛1	f41b13ac-image.jpg
029	029_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★2	befb07f6-image.jpg
030	030_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★5	f0bf98c2-image.jpg
031	031_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★6 (상단)	3e12da16-image.jpg
032	032_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★4 (상단)	c454f833-image.jpg
033	033_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★3 (상단)	49363f9d-image.jpg
034	034_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★6 하단 · 최대 체력 122 / 공격력 399	e37ef0c8-image.jpg
035	035_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★1 하단 · 116 / 381	465198af-image.jpg
036	036_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★5 하단 · 121 / 395	851eccb7-image.jpg
037	037_zad_weapon.jpg	자드	장비 탭	★라 사바흐 상세(특화 옵션·설명문) + 장비 슬롯 · 무기 일러스트 크롭 원본	8bd1e183-image.jpg
038	038_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★3 하단 · 118 / 388	95bfaf2c-image.jpg
039	039_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★4 하단 · 120 / 392	7ead8b62-image.jpg
040	040_zad_weapon-awaken.jpg	자드	전용무기 각성	라 사바흐 ★2 하단 · 117 / 384	9a0b9140-image.jpg
041	041_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv3	68efa7a8-image.jpg
042	042_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv4	d3934078-image.jpg
043	043_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv6 (본문 스크롤)	6edde076-image.jpg
044	044_zad_manifest.jpg	자드	발현 트리	메테오 스트라이크 발현 2단 (90%/160%)	bd7eb05d-image.jpg
045	045_zad_manifest.jpg	자드	발현 트리	관능의 아라베스크 발현 6단 (공 50%/체 30%)	6117662f-image.jpg
046	046_zad_manifest.jpg	자드	발현 트리	관능의 아라베스크 발현 4단 (공 40%/체 20%)	96eadd1a-image.jpg
047	047_zad_info.jpg	자드	정보 탭	★전신 일러스트 + 전체 스탯 · 전투력 8829 / 체 9103 / 공 3790 / 주문 444 / 방어 1061 / 저항 975	84492881-image.jpg
048	048_zad_profile.jpg	자드	캐릭터 정보	★프로필(Zard) · 에스겔력 1256년 · 165cm · CV 이주은 · 소개문 · 초상화 크롭 원본	545841f7-image.jpg
049	049_zad_manifest.jpg	자드	발현 트리	메테오 스트라이크 발현 3단 (80%/150%)	71080ab4-image.jpg
050	050_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv5 (본문 스크롤)	3c6727a9-image.jpg
051	051_zad_skill.jpg	자드	스킬 탭	메테오 스트라이크(초필살기) 툴팁 + 멍해짐 · TP5 / 쿨 5턴	72dff538-image.jpg
052	052_zad_manifest.jpg	자드	발현 트리	관능의 아라베스크 발현 2단 (공 30%/체 10%)	7ba9dd64-image.jpg
053	053_zad_skill.jpg	자드	스킬 탭	★보유 스킬 전체 아이콘(액티브3+초필살기+패시브2) · 스킬 아이콘 크롭 원본	e867a801-image.jpg
054	054_zad_manifest.jpg	자드	발현 트리	메테오 스트라이크 발현 1단 (70%/140%)	ca320f02-image.jpg
055	055_zad_bond.jpg	자드	인연	자드 카드 + 소개문 (전설 91/123)	946b47e6-image.jpg
056	056_zad_artifact.jpg	자드	아티팩트	암살자의 인장 ★1 (영웅)	06ff512d-image.jpg
057	057_zad_artifact.jpg	자드	아티팩트	난투가의 너클 ★2	1c7d0746-image.jpg
058	058_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv5 (상단 · 공격력 20%)	b7d521b0-image.jpg
059	059_zad_artifact.jpg	자드	아티팩트	난투가의 너클 ★1	ef436fc7-image.jpg
060	060_zad_artifact.jpg	자드	아티팩트	난투가의 너클 ★4	bcd36f40-image.jpg
061	061_zad_artifact.jpg	자드	아티팩트	황금 앵클릿 ★1	cd4b31c1-image.jpg
062	062_zad_artifact.jpg	자드	아티팩트	황금 앵클릿 ★4	24ad3979-image.jpg
063	063_zad_artifact.jpg	자드	아티팩트	암살자의 인장 ★4	c8fc8aec-image.jpg
064	064_zad_artifact.jpg	자드	아티팩트	암살자의 인장 ★2	b58fd664-image.jpg
065	065_zad_passive.jpg	자드	고유패시브 팝업	관능의 아라베스크 Lv6 (상단 · 공격력 25%)	a7e0fcfc-image.jpg
066	066_zad_artifact.jpg	자드	아티팩트	황금 앵클릿 ★2	5c27f248-image.jpg
067	067_zad_artifact.jpg	자드	아티팩트	암살자의 인장 ★3	8922674c-image.jpg
068	068_zad_artifact.jpg	자드	아티팩트	난투가의 너클 ★3	d02e4902-image.jpg
069	069_zad_artifact.jpg	자드	아티팩트	황금 앵클릿 ★3	7d96da7c-image.jpg
070	070_common_manifest.jpg	공통	발현 트리	★★발현 트리 전체 구조(툴팁 없음) · 초필살기/능력치 강화/고유 스킬/아티팩트 아이콘 크롭 원본	40ae1db5-image.jpg
071	071_common_manifest.jpg	공통	발현 트리	발현 트리 전체 구조 2~6단 (스크롤 상태)	48fd92c0-image.jpg
072	072_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv6 (상단 · 적 2명 / 3턴 / 복수 4)	6d6927bb-image.jpg
073	073_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv4 (적 1명 / 2턴 / 복수 2 / 추가행동 80%)	5e3635ad-image.jpg
