번호	파일명	화면	내용	원래 업로드 파일명
001	001_karls_passive.jpg	passive	고유 패시브 초월의 별 — 각성 Lv4 (20% / 40% / 40%)	9f7ec052-image.jpg
002	002_karls_profile.jpg	profile	캐릭터 정보 — 이름·출생연도·진영·신장·CV·소개글 (초상화/썸네일 크롭 원본)	89bc10e2-image.jpg
003	003_karls_class.jpg	class	드래곤슬레이어 — 액티브 열살섬 + 버프 전의 (TP 전부 소모 / 쿨 2턴)	c96ee3eb-image.jpg
004	004_karls_class.jpg	class	글라디에이터 — 클래스 패시브 용맹 2 (25% / 15%)	389dd3e6-image.jpg
005	005_karls_passive.jpg	passive	고유 패시브 초월의 별 — 각성 Lv3 (공 15% / 부활 35% / 피해 35%)	93628884-image.jpg
006	006_karls_class.jpg	class	드래곤슬레이어 — 클래스 패시브 광란 2	536b3bfb-image.jpg
007	007_karls_class.jpg	class	다크나이트 — 클래스 패시브 심연의 저주 1 + 디버프 약화	5826a601-image.jpg
008	008_karls_class.jpg	class	다크나이트 — 액티브 다크 임브레스 (마법·암흑 / TP3 / 쿨 2턴)	012c129e-image.jpg
009	009_karls_class.jpg	class	드래곤슬레이어 — 클래스 패시브 광란 1	1b717f0e-image.jpg
010	010_karls_class.jpg	class	글라디에이터 — 액티브 풍열섬 + 디버프 파열 (TP2 / 광역 / 쿨 3턴)	97f13acb-image.jpg
011	011_karls_manifest.jpg	manifest	발현 트리 — 초월의 별 발현 2단 (35% / 60% 부활 + 디버프 해제)	3c2f6215-image.jpg
012	012_karls_class.jpg	class	다크나이트 — 클래스 패시브 심연의 저주 2	bfdc90c9-image.jpg
013	013_karls_passive.jpg	passive	고유 패시브 초월의 별 — 각성 Lv6 (30% / 50% / 50% + TP + 쿨타임 초기화)	d2edb897-image.jpg
014	014_karls_class.jpg	class	글라디에이터 — 클래스 패시브 용맹 1 (공 20% / 체력 50% 이하 치명 10%)	e046d49e-image.jpg
015	015_karls_class.jpg	class	★클래스 트리 전체 — 파이터/나이트/글라디에이터/아크나이트/다크나이트/드래곤슬레이어 (엠블럼 크롭 원본) · 스탯 6052/2300	84bd366c-image.jpg
016	016_karls_passive.jpg	passive	고유 패시브 초월의 별 — 각성 Lv5 (25% / 45% / 45% + TP 회복)	11a0f1c4-image.jpg
017	017_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★6 하단 — 다크 존 6 (40%) · 128 / 382	9a8367bf-image.jpg
018	018_karls_artifact.jpg	artifact	아티팩트 헬카이트의 응시 ★1 (영웅) — 아이콘 크롭 원본	f86d973f-image.jpg
019	019_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★3 하단 — 다크 존 3 (25%) · 124 / 371	0e479f60-image.jpg
020	020_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★2 하단 — 다크 존 2 (20%) · 123 / 367	a879b4be-image.jpg
021	021_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★1 상단 — 공격력 +15% · 파열진 1 (치명 5% / 25%)	5ffc815e-image.jpg
022	022_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★1 하단 — 다크 존 1 (15%) · 체력 122 / 공격 364	01f07bbd-image.jpg
023	023_karls_skill.jpg	skill	★스킬 탭 — 천지파열무 툴팁(타격·화염 / TP5 / 광역 / 쿨 5턴) · 초필살기 아이콘 크롭 원본	17c73f98-image.jpg
024	024_karls_artifact.jpg	artifact	아티팩트 필살의 의지 ★1 (영웅) — 아이콘 크롭 원본	bbbf6844-image.jpg
025	025_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★6 상단 — +20% · 파열진 6 (10% / 50%)	4549de90-image.jpg
026	026_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★4 하단 — 다크 존 4 (30%) · 126 / 375	556a06bf-image.jpg
027	027_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★5 하단 — 다크 존 5 (35%) · 127 / 378	7079004d-image.jpg
028	028_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★5 상단 — +19% · 파열진 5 (9% / 45%)	1ef43465-image.jpg
029	029_karls_artifact.jpg	artifact	아티팩트 전사의 정수 ★1 (영웅) — 아이콘 크롭 원본	b97409ef-image.jpg
